Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2006,2006,DC_TOF_TRDCMDL,,85.85
2007,2007,DC_TOF_TRDCMDL,,65.64
2008,2008,DC_TOF_TRDCMDL,,59.99
2009,2009,DC_TOF_TRDCMDL,,140.27
2010,2010,DC_TOF_TRDCMDL,,222.41
2011,2011,DC_TOF_TRDCMDL,,178.23
2012,2012,DC_TOF_TRDCMDL,,70.02
2013,2013,DC_TOF_TRDCMDL,,99.83
2014,2014,DC_TOF_TRDCMDL,,125.9
2015,2015,DC_TOF_TRDCMDL,,103.17
2016,2016,DC_TOF_TRDCMDL,,129.14
2017,2017,DC_TOF_TRDCMDL,,228.75
2018,2018,DC_TOF_TRDCMDL,,133.3
