Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2016,M,West Bank,2016,NUMBER,VC_SNS_WALN,
2018,M,West Bank,2018,NUMBER,VC_SNS_WALN,
2016,M,Gaza Strip,2016,NUMBER,VC_SNS_WALN,
2018,M,Gaza Strip,2018,NUMBER,VC_SNS_WALN,
2016,M,PS,2016,NUMBER,VC_SNS_WALN,87.0
2018,M,PS,2018,NUMBER,VC_SNS_WALN,92.4
2016,F,West Bank,2016,NUMBER,VC_SNS_WALN,
2018,F,West Bank,2018,NUMBER,VC_SNS_WALN,
2016,F,Gaza Strip,2016,NUMBER,VC_SNS_WALN,
2018,F,Gaza Strip,2018,NUMBER,VC_SNS_WALN,
2016,F,PS,2016,NUMBER,VC_SNS_WALN,87.4
2018,F,PS,2018,NUMBER,VC_SNS_WALN,91.5
2016,_T,West Bank,2016,NUMBER,VC_SNS_WALN,84.7
2018,_T,West Bank,2018,NUMBER,VC_SNS_WALN,90.8
2016,_T,Gaza Strip,2016,NUMBER,VC_SNS_WALN,91.3
2018,_T,Gaza Strip,2018,NUMBER,VC_SNS_WALN,93.9
2016,_T,PS,2016,NUMBER,VC_SNS_WALN,87.2
2018,_T,PS,2018,NUMBER,VC_SNS_WALN,92.0
