Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,M,West Bank,N,2016,VC_SNS_WALN,PT,
2018,M,West Bank,N,2018,VC_SNS_WALN,PT,
2016,M,Gaza Strip,N,2016,VC_SNS_WALN,PT,
2018,M,Gaza Strip,N,2018,VC_SNS_WALN,PT,
2016,M,PS,N,2016,VC_SNS_WALN,PT,87.0
2018,M,PS,N,2018,VC_SNS_WALN,PT,92.4
2016,F,West Bank,N,2016,VC_SNS_WALN,PT,
2018,F,West Bank,N,2018,VC_SNS_WALN,PT,
2016,F,Gaza Strip,N,2016,VC_SNS_WALN,PT,
2018,F,Gaza Strip,N,2018,VC_SNS_WALN,PT,
2016,F,PS,N,2016,VC_SNS_WALN,PT,87.4
2018,F,PS,N,2018,VC_SNS_WALN,PT,91.5
2016,_T,West Bank,N,2016,VC_SNS_WALN,PT,84.7
2018,_T,West Bank,N,2018,VC_SNS_WALN,PT,90.8
2016,_T,Gaza Strip,N,2016,VC_SNS_WALN,PT,91.3
2018,_T,Gaza Strip,N,2018,VC_SNS_WALN,PT,93.9
2016,_T,PS,N,2016,VC_SNS_WALN,PT,87.2
2018,_T,PS,N,2018,VC_SNS_WALN,PT,92.0
