Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2004,West Bank,N,2004,VC_PRR_PHYV,PH,35.2
2008,West Bank,N,2008,VC_PRR_PHYV,PH,47.0
2012,West Bank,N,2012,VC_PRR_PHYV,PH,49.2
2016,West Bank,N,2016,VC_PRR_PHYV,PH,38.3
2004,Gaza Strip,N,2004,VC_PRR_PHYV,PH,17.4
2008,Gaza Strip,N,2008,VC_PRR_PHYV,PH,57.5
2012,Gaza Strip,N,2012,VC_PRR_PHYV,PH,32.8
2016,Gaza Strip,N,2016,VC_PRR_PHYV,PH,45.9
2004,PS,N,2004,VC_PRR_PHYV,PH,29.5
2008,PS,N,2008,VC_PRR_PHYV,PH,53.0
2012,PS,N,2012,VC_PRR_PHYV,PH,43.4
2016,PS,N,2016,VC_PRR_PHYV,PH,43.0
