Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D97,BI,_T,_T,_T,_T,,2010,238.8
2011,D97,BI,_T,_T,_T,_T,,2011,245.4
2012,D97,BI,_T,_T,_T,_T,,2012,245.9
2013,D97,BI,_T,_T,_T,_T,,2013,264.2
2014,D97,BI,_T,_T,_T,_T,,2014,265.2
2015,D97,BI,_T,_T,_T,_T,,2015,257.4
2016,D97,BI,_T,_T,_T,_T,,2016,287.4
2017,D97,BI,_T,_T,_T,_T,,2017,259.3
