Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,3
#1-3-1,1
#1-4-1,1
#1-5-3,5
#1-a-2,4
#10-3-1,2
#10-4-1,4
#11-1-1,5
#11-5-1,1
#11-7-1,4
#11-7-2,1
#11-a-1,5
#12-6-1,1
#15-1-1,1
#15-6-1,5
#16-1-1,1
#16-1-4,2
#16-2-1,1
#16-2-2,1
#16-3-1,2
#16-9-1,1
#17-1-1,3
#17-1-2,1
#17-3-2,3
#17-4-1,1
#17-8-1,2
#2-2-1,1
#2-2-2,2
#2-3-1,1
#2-4-1,1
#2-c-1,4
#3-1-1,2
#3-1-2,1
#3-2-1,2
#3-2-2,1
#3-3-2,1
#3-3-3,3
#3-6-1,4
#3-8-1,1
#3-b-1,3
#4-2-2,2
#4-3-1,1
#4-5-1,2
#4-6-1,1
#4-c-1,6
#5-5-1,1
#5-5-2,1
#5-b-1,2
#6-1-1,2
#6-2-1,2
#6-3-1,1
#7-1-1,3
#7-1-2,1
#7-2-1,1
#8-1-1,3
#8-2-1,4
#8-3-1,1
#8-5-2,1
#8-8-1,1
#8-b-1,5
#9-1-2,1
#9-2-1,3
#9-2-2,1
#9-3-1,1
#9-3-2,1
#9-5-1,1
#9-c-1,1
