Value,Disaggregation combinations using this value,Number of indicators
AG_FPA_COMM,1,1
AG_LND_FRST,1,1
AG_LND_SUST,1,1
AG_PRD_FIESMSI,1,1
BX_TRF_PWKR,1,1
DT_TDS_DECT,1,1
EG_EGY_CLEAN,1,1
EG_ELC_ACCS,1,1
EG_FEC_RNEW,1,1
EN_LND_SLUM,1,1
EN_SCP_FRMN,1,1
EN_URB_OPENSP,1,1
EN_WWT_WWDS,1,1
ER_CBD_ABSCLRHS,1,1
FB_BNK_ACCSS,1,1
FC_ACC_SSID,1,1
GB_XPD_RSDV,1,1
GC_GOB_TAXD,1,1
GR_G14_GDP,1,1
IC_GEN_MGTL,1,1
IS_RDP_FRGVOL,1,1
IT_MOB_2GNTWK,1,1
IT_MOB_OWN,2,1
IT_USE_II99,2,1
NV_IND_MANF,1,1
NV_IND_SSIS,1,1
NY_GDP_PCAP,1,1
PD_AGR_SSFP,1,1
SD_XPD_ESED,1,1
SE_ADT_ACTS,4,1
SE_ADT_EDUCTRN,1,1
SE_ADT_FUNS,1,1
SE_DEV_ONTRK,1,1
SE_LGP_ACHI,1,1
SE_PRE_GPIPARTN,1,1
SE_PRE_PARTN,2,1
SE_TRA_GRDL,3,1
SG_DSR_LEGREG,1,1
SG_GEN_LOCGELS,1,1
SG_REG_BRTH,1,1
SG_URB_PLAN,1,1
SH_ACS_DTP3,1,1
SH_ACS_MCV2,1,1
SH_ACS_PCV3,1,1
SH_ACS_UNHC,1,1
SH_DYN_IMRT,1,1
SH_DYN_NMRT,1,1
SH_FPL_INFM,1,1
SH_FPL_MTMM,1,1
SH_H2O_SAFE,1,1
SH_SAN_DEFECT,1,1
SH_STA_BRTC,1,1
SH_STA_MALR,1,1
SH_STA_MMR,1,1
SH_STA_OVRWGT,1,1
SH_STA_STUNT,1,1
SH_STA_TRAF,1,1
SH_STA_WASTE,1,1
SH_TBS_INCID,1,1
SI_COV_BENFTS,1,1
SI_POV_DAY1,3,1
SI_POV_NAHC,3,1
SL_CPA_YEMP,1,1
SL_EMP_FTLINJUR,1,1
SL_EMP_GTOTL,1,1
SL_EMP_PCAP,1,1
SL_ISV_IFRM,1,1
SL_TLF_CHLDEC,1,1
SL_TLF_MANF,1,1
SL_TLF_NEET,1,1
SL_TLF_UEM,1,1
SP_ACS_BSRV,1,1
SP_DYN_ADKL,2,1
SP_DYN_MRB,1,1
SP_DYN_MRBF15,2,1
SP_DYN_MRBF18,2,1
VC_DSR_MISS,1,1
VC_IHR_PSRC,1,1
VC_PRR_ROBB,2,1
VC_SNS_WALN,2,1
VC_VAW_DIST,1,1
VC_VAW_MARR,1,1
VC_VAW_PHYPYV,1,1
VC_VOH_SXPH,1,1
VC_VOV_DCMN,2,1
