Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,2015,SH_DTH_NCD,,21.0
2016,West Bank,2016,SH_DTH_NCD,,20.6
2017,West Bank,2017,SH_DTH_NCD,,17.9
2018,West Bank,2018,SH_DTH_NCD,,18.7
2015,Gaza Strip,2015,SH_DTH_NCD,,19.1
2016,Gaza Strip,2016,SH_DTH_NCD,,22.7
2017,Gaza Strip,2017,SH_DTH_NCD,,20.9
2018,Gaza Strip,2018,SH_DTH_NCD,,23.7
2015,PS,2015,SH_DTH_NCD,,20.6
2016,PS,2016,SH_DTH_NCD,,21.5
2017,PS,2017,SH_DTH_NCD,,19.2
2018,PS,2018,SH_DTH_NCD,,20.3
