Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-2-2,1
#1-3-1,6
#1-4-2,3
#1-a-2,3
#10-4-1,1
#11-5-1,1
#15-1-1,1
#15-2-1,5
#16-1-1,1
#16-2-1,1
#16-2-2,1
#16-3-2,1
#16-6-1,11
#16-9-1,1
#17-1-1,1
#17-1-2,1
#17-3-1,1
#17-3-2,1
#17-4-1,1
#17-8-1,1
#2-2-1,1
#2-2-2,1
#2-a-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-3-1,3
#3-3-2,1
#3-3-3,1
#3-4-1,1
#3-4-2,1
#3-6-1,1
#3-7-1,1
#3-b-1,1
#3-c-1,2
#4-2-2,3
#4-5-1,1
#4-a-1,4
#4-c-1,3
#5-1-1,1
#5-5-1,2
#5-a-2,1
#6-1-1,1
#6-5-1,1
#6-5-2,1
#6-6-1,1
#6-b-1,1
#7-1-1,3
#7-1-2,6
#8-1-1,1
#8-10-1,2
#8-2-1,1
#8-3-1,3
#8-5-1,69
#8-5-2,39
#8-6-1,3
#9-1-2,4
#9-2-1,1
#9-2-2,1
#9-3-2,1
#9-a-1,1
#9-c-1,1
