Year,seriesdescription,geoarea,sex,age,location,education-level,occupation,comp-breakdown,disability-status,unit,TIME_DETAIL,Value
2017,SL_EMP_EARN,ZM,_T,_T,_T,_T,ISCO08_9,_T,_T,CUR_LCU,2017,13.0
2017,SL_EMP_EARN,ZM,_T,_T,_T,_T,ISCO08_X,_T,_T,CUR_LCU,2017,33.0
2017,SL_EMP_EARN,ZM,_T,_T,_T,_T,_T,_T,_T,CUR_LCU,2017,21.0
2017,SL_EMP_EARN,ZM,_T,Y_GE70,_T,_T,_T,_T,_T,CUR_LCU,2017,73.0
2017,SL_EMP_EARN,ZM,_T,Y15T19,_T,_T,_T,_T,_T,CUR_LCU,2017,72.0
2017,SL_EMP_EARN,ZM,_T,Y20T24,_T,_T,_T,_T,_T,CUR_LCU,2017,139.0
2017,SL_EMP_EARN,ZM,_T,Y25T29,_T,_T,_T,_T,_T,CUR_LCU,2017,157.0
2017,SL_EMP_EARN,ZM,_T,Y30T34,_T,_T,_T,_T,_T,CUR_LCU,2017,158.0
2017,SL_EMP_EARN,ZM,_T,Y35T39,_T,_T,_T,_T,_T,CUR_LCU,2017,152.0
2017,SL_EMP_EARN,ZM,_T,Y40T44,_T,_T,_T,_T,_T,CUR_LCU,2017,180.0
2017,SL_EMP_EARN,ZM,_T,Y46T49,_T,_T,_T,_T,_T,CUR_LCU,2017,168.0
2017,SL_EMP_EARN,ZM,_T,Y50T54,_T,_T,_T,_T,_T,CUR_LCU,2017,143.0
2017,SL_EMP_EARN,ZM,_T,Y55T59,_T,_T,_T,_T,_T,CUR_LCU,2017,129.0
2017,SL_EMP_EARN,ZM,_T,Y60T64,_T,_T,_T,_T,_T,CUR_LCU,2017,139.0
2017,SL_EMP_EARN,ZM,_T,Y65T69,_T,_T,_T,_T,_T,CUR_LCU,2017,108.0
