Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
1997,Amman,1997,SI_POV_NAHC,PT,19.6
2002,Amman,2002,SI_POV_NAHC,PT,9.2
2006,Amman,2006,SI_POV_NAHC,PT,9.4
2008,Amman,2008,SI_POV_NAHC,PT,8.3
2010,Amman,2010,SI_POV_NAHC,PT,11.4
1997,Balqa,1997,SI_POV_NAHC,PT,21.8
2002,Balqa,2002,SI_POV_NAHC,PT,17.8
2006,Balqa,2006,SI_POV_NAHC,PT,15.3
2008,Balqa,2008,SI_POV_NAHC,PT,19.7
2010,Balqa,2010,SI_POV_NAHC,PT,20.9
1997,Zarqa,1997,SI_POV_NAHC,PT,16.3
2002,Zarqa,2002,SI_POV_NAHC,PT,22.3
2006,Zarqa,2006,SI_POV_NAHC,PT,14.9
2008,Zarqa,2008,SI_POV_NAHC,PT,11.2
2010,Zarqa,2010,SI_POV_NAHC,PT,14.1
1997,Madaba,1997,SI_POV_NAHC,PT,23.9
2002,Madaba,2002,SI_POV_NAHC,PT,10.7
2006,Madaba,2006,SI_POV_NAHC,PT,10.0
2008,Madaba,2008,SI_POV_NAHC,PT,14.9
2010,Madaba,2010,SI_POV_NAHC,PT,15.1
1997,Irbid,1997,SI_POV_NAHC,PT,26.0
2002,Irbid,2002,SI_POV_NAHC,PT,13.8
2006,Irbid,2006,SI_POV_NAHC,PT,12.1
2008,Irbid,2008,SI_POV_NAHC,PT,14.7
2010,Irbid,2010,SI_POV_NAHC,PT,15.0
1997,Mafraq,1997,SI_POV_NAHC,PT,35.9
2002,Mafraq,2002,SI_POV_NAHC,PT,25.4
2006,Mafraq,2006,SI_POV_NAHC,PT,23.0
2008,Mafraq,2008,SI_POV_NAHC,PT,31.9
2010,Mafraq,2010,SI_POV_NAHC,PT,19.2
1997,Jarash,1997,SI_POV_NAHC,PT,19.2
2002,Jarash,2002,SI_POV_NAHC,PT,18.4
2006,Jarash,2006,SI_POV_NAHC,PT,16.7
2008,Jarash,2008,SI_POV_NAHC,PT,20.3
2010,Jarash,2010,SI_POV_NAHC,PT,20.3
1997,Ajlun,1997,SI_POV_NAHC,PT,17.3
2002,Ajlun,2002,SI_POV_NAHC,PT,9.7
2006,Ajlun,2006,SI_POV_NAHC,PT,17.7
2008,Ajlun,2008,SI_POV_NAHC,PT,13.3
2010,Ajlun,2010,SI_POV_NAHC,PT,25.6
1997,Karak,1997,SI_POV_NAHC,PT,13.0
2002,Karak,2002,SI_POV_NAHC,PT,12.2
2006,Karak,2006,SI_POV_NAHC,PT,21.7
2008,Karak,2008,SI_POV_NAHC,PT,17.1
2010,Karak,2010,SI_POV_NAHC,PT,13.4
1997,Tafiela,1997,SI_POV_NAHC,PT,24.3
2002,Tafiela,2002,SI_POV_NAHC,PT,10.6
2006,Tafiela,2006,SI_POV_NAHC,PT,19.1
2008,Tafiela,2008,SI_POV_NAHC,PT,21.1
2010,Tafiela,2010,SI_POV_NAHC,PT,17.2
1997,Ma'an,1997,SI_POV_NAHC,PT,37.3
2002,Ma'an,2002,SI_POV_NAHC,PT,24.1
2006,Ma'an,2006,SI_POV_NAHC,PT,12.7
2008,Ma'an,2008,SI_POV_NAHC,PT,24.2
2010,Ma'an,2010,SI_POV_NAHC,PT,26.6
1997,Aqaba,1997,SI_POV_NAHC,PT,17.0
2002,Aqaba,2002,SI_POV_NAHC,PT,15.2
2006,Aqaba,2006,SI_POV_NAHC,PT,15.5
2008,Aqaba,2008,SI_POV_NAHC,PT,11.8
2010,Aqaba,2010,SI_POV_NAHC,PT,19.2
1997,JO,1997,SI_POV_NAHC,PT,21.3
2002,JO,2002,SI_POV_NAHC,PT,14.2
2006,JO,2006,SI_POV_NAHC,PT,13.0
2008,JO,2008,SI_POV_NAHC,PT,13.3
2010,JO,2010,SI_POV_NAHC,PT,14.4
