Year,SERIES,UNIT_MEASURE,TIME_DETAIL,Value
2012,SG_GEN_PARL,PT,2012,12.0
2013,SG_GEN_PARL,PT,2013,12.0
2014,SG_GEN_PARL,PT,2014,12.0
2015,SG_GEN_PARL,PT,2015,12.0
2016,SG_GEN_PARL,PT,2016,12.0
2017,SG_GEN_PARL,PT,2017,15.4
2018,SG_GEN_PARL,PT,2018,15.4
2012,SG_GEN_LOCG,PT,2012,24.8
2013,SG_GEN_LOCG,PT,2013,35.46
2014,SG_GEN_LOCG,PT,2014,30.6
2015,SG_GEN_LOCG,PT,2015,27.8
2016,SG_GEN_LOCG,PT,2016,27.8
2017,SG_GEN_LOCG,PT,2017,27.8
2018,SG_GEN_LOCG,PT,2018,27.8
