Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,IT_USE_ii99,BI,F,_T,_T,_T,PT,0,2014,1.6
2014,IT_USE_ii99,BI,M,_T,_T,_T,PT,0,2014,3.1
2014,IT_USE_ii99,BI,_T,_T,_T,_T,PT,0,2014,2.3
2014,IT_USE_ii99,BI,_T,_T,U,_T,PT,0,2014,6.8
2014,IT_USE_ii99,BI,_T,_T,R,_T,PT,0,2014,0.1
