Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D98,BI,_T,_T,_T,_T,,0,2010,189.8
2011,D98,BI,_T,_T,_T,_T,,0,2011,199.4
2012,D98,BI,_T,_T,_T,_T,,0,2012,186.9
2013,D98,BI,_T,_T,_T,_T,,0,2013,238.0
2014,D98,BI,_T,_T,_T,_T,,0,2014,262.0
2015,D98,BI,_T,_T,_T,_T,,0,2015,210.3
2016,D98,BI,_T,_T,_T,_T,,0,2016,206.4
2017,D98,BI,_T,_T,_T,_T,,0,2017,186.4
2018,D98,BI,_T,_T,_T,_T,,0,2018,219.62
